group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,pos_err_cm,heading_err_deg,confidence,ok_for_true_location_update,ok_for_correction_motion,reason,distance_items,angle_items,yaw_items,distance_tag_count,angle_tag_count,yaw_tag_count,distance_bearing_span_deg,angle_bearing_span_deg,distance_rms_cm,distance_max_abs_cm,angle_rms_deg,angle_max_abs_deg,yaw_rms_deg,yaw_max_abs_deg,filter_enabled,filter_disabled,distance_disabled,angle_disabled,yaw_disabled
625_x6.000_y2.000_h180.0,625,6.0,2.0,180.0,5.915625,1.959375,180.15625,9.364577539857274,0.15625,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,7,4,6,7,4,82.89017256676459,208.34762258148658,3.1458907292902336,4.558045028215574,3.5349785485390455,8.661780141574127,13.962109397586078,25.050467847167113,17,4,1,0,3
625_x6.000_y2.000_h270.0,625,6.0,2.0,270.0,5.996875,1.9625000000000001,262.8125,3.762998305872577,7.1875,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,5,6,6,5,217.13221487587867,217.13221487587867,4.651466589552196,9.335297587746982,1.4349650542401398,2.3964240136716057,9.863498635581417,20.266753987321124,17,1,0,0,1
625_x6.000_y4.000_h0.0,625,6.0,4.0,0.0,5.831249999999999,4.124999999999999,358.125,21.000372020514334,1.875,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,6,7,6,6,7,6,183.82713500689107,202.2173574146332,8.384140937667897,16.247239350097598,3.1784336945885507,5.595459863850124,10.549842857155781,19.28527954001072,19,2,1,0,1
625_x6.000_y4.000_h90.0,625,6.0,4.0,90.0,6.028125,4.031249999999999,92.03125,4.204257514710481,2.03125,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,3,4,4,3,191.4817987388579,191.4817987388579,5.31604928503433,7.526412624522649,0.8753610183113408,1.1677980221683981,4.006444888121995,5.429746786514443,11,1,0,0,1
625_x6.000_y4.000_h180.0,625,6.0,4.0,180.0,5.9625,3.975,178.28125,4.506939094329952,1.71875,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,3,5,5,3,53.60261596127452,53.60261596127452,3.308378611676694,5.5064543153484635,1.6815763096582965,3.269345294418372,10.051173200562255,17.194648978356838,13,2,0,0,2
625_x6.000_y4.000_h270.0,625,6.0,4.0,270.0,6.065624999999999,3.9499999999999997,265.9375,8.250236739027486,4.0625,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,4,4,4,4,4,4,44.089139243712566,44.089139243712566,2.8229857862175973,4.552651474443481,1.7656892704063323,2.858530375999351,12.462962810360393,19.542600743125632,12,0,0,0,0
625_x7.000_y3.000_h0.0,625,7.0,3.0,0.0,6.778124999999999,3.075,0.3125,23.42082740318974,0.3125,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,3,3,3,3,3,3,54.575089461823154,54.575089461823154,2.4343771721962066,3.512301297909115,3.239065605348802,4.510230355504859,7.984687343733572,11.491269644495105,9,0,0,0,0
625_x7.000_y3.000_h90.0,625,7.0,3.0,90.0,6.949999999999999,3.0093750000000004,88.59375,5.0871314362812345,1.40625,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,5,5,5,5,204.2912113061414,204.2912113061414,2.0822090071889168,4.053059696857142,2.1283998060764486,3.8302185903324926,5.733372017364643,9.913566857005122,15,0,0,0,0
625_x7.000_y3.000_h180.0,625,7.0,3.0,180.0,6.95,3.3218750000000004,178.90625,32.57353459865849,1.09375,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,2,4,4,2,166.6679881572938,166.6679881572938,7.882335679946004,12.423247301246887,1.964430205460476,3.805935987982423,10.58348778679993,13.697958775946631,10,2,0,0,2
625_x7.000_y3.000_h270.0,625,7.0,3.0,270.0,7.015625,2.9875000000000003,271.40625,2.0009763241977487,1.40625,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,7,7,7,7,7,7,220.05849496143668,220.05849496143668,2.906709876515835,4.9490727648692,2.435434572002361,4.0944750844262785,11.409907473992325,20.839699509205843,21,0,0,0,0
