source_row,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,ok,reason,tag_x_m,tag_y_m,tag_yaw_deg,tag_room,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,bearing_world_deg,pred_distance_m,pred_angle_deg,pred_yaw_deg,meas_distance_m,meas_angle_deg,meas_yaw_deg,meas_distance_residual_m,meas_distance_residual_cm,meas_angle_residual_deg,meas_yaw_residual_deg,true_distance_m,true_angle_deg,true_yaw_deg,true_distance_delta_m,true_distance_delta_cm,true_angle_delta_deg,true_yaw_delta_deg,worst_score
169,625,6.0,4.0,0.0,58,front,True,,9.31,4.69,180.0,inner,left,6.055,4.0,0.0,11.96847565158382,3.327330010684243,-11.968475651583816,-11.968475651583844,3.5688,-13.621,7.729,0.2414699893157568,24.14699893157568,-1.6525243484161933,19.69747565158383,3.3273,-11.968,-11.968,-3.0010684243020336e-05,-0.0030010684243020336,0.00047565158382667505,0.00047565158385509676,7.349988800945583
263,625,9.0,3.0,0.0,57,front,True,,10.1,3.77,180.0,inner,left,9.055,3.0,0.0,36.38435181583589,1.2980466093326541,-36.384351815835885,-36.384351815835885,1.4977,-27.214,-39.148,0.1996533906673459,19.96533906673459,9.170351815835886,-2.7636481841641114,1.2413,-32.666,-32.666,-0.056746609332654074,-5.674660933265407,3.718351815835888,3.718351815835888,7.326216570375291
55,624,3.0,4.0,270.0,45,front,True,,1.67,0.1,90.0,inner,up,3.0,3.945,270.0,250.91930409084915,4.068528603807524,19.080695909150847,19.080695909150847,4.153,14.3,-20.7,0.0844713961924759,8.44713961924759,-4.780695909150836,-39.780695909150836,4.069,19.1,19.1,0.00047139619247626996,0.047139619247626996,0.01930409084914686,0.01930409084914686,7.261062817814881
249,625,8.0,4.0,0.0,56,front,True,,10.1,2.75,180.0,inner,left,8.055,4.0,0.0,328.56476826774394,2.3967738733555985,31.435231732256057,31.435231732256057,2.631,25.353,28.4,0.23422612664440123,23.422612664440123,-6.082231732256048,-3.035231732256051,2.4504,33.431,33.431,0.053626126644401584,5.362612664440158,1.9957682677439266,1.9957682677439266,7.015456283532313
127,624,5.0,4.0,90.0,50,rear,True,,6.4,0.29,90.0,inner,up,5.0,3.925,270.0,291.0639121752965,3.89528240311277,-21.06391217529648,-21.06391217529648,4.105,-18.3,-2.3,0.20971759688723024,20.971759688723026,2.7639121752964684,18.76391217529647,3.914,-21.0,-21.0,0.01871759688722996,1.871759688722996,0.06391217529647975,0.06391217529647975,6.992047213706408
140,625,6.0,2.0,0.0,56,front,True,,10.1,2.75,180.0,inner,left,6.055,2.0,0.0,10.504156996967922,4.113942756043161,-10.504156996967936,-10.504156996967936,4.2362,-15.912,16.22,0.12225724395683901,12.225724395683901,-5.40784300303207,26.724156996967935,4.0969,-9.129,-9.129,-0.01704275604316141,-1.7042756043161411,1.3751569969679451,1.3751569969679451,6.920174913177597
235,625,8.0,3.0,180.0,40,front,True,,1.2,4.7,0.0,inner,right,7.945,3.0,180.0,165.85387982321123,6.955934516655544,14.14612017678877,14.14612017678877,6.8588,9.063,-18.669,-0.09713451665554462,-9.713451665554462,-5.083120176788782,-32.81512017678875,6.9322,13.345,13.345,-0.02373451665554427,-2.373451665554427,-0.8011201767887712,-0.8011201767887712,6.9185757430526955
284,625,9.0,4.0,180.0,57,rear,True,,10.1,3.77,180.0,inner,left,9.075,4.0,0.0,347.35287386427393,1.0504879818446287,12.647126135726069,12.647126135726012,1.1804,21.06,-2.342,0.12991201815537123,12.991201815537124,8.412873864273934,-14.989126135726025,1.0959,17.526,17.526,0.045412018155371436,4.541201815537144,4.878873864273942,4.878873864273999,6.901444264771338
185,625,7.0,3.0,0.0,58,front,True,,9.31,4.69,180.0,inner,left,7.055,3.0,0.0,36.84956557447849,2.8180001774307972,-36.849565574478504,-36.849565574478504,2.9768,-28.278,-44.592,0.15879982256920266,15.879982256920266,8.571565574478512,-7.7424344255214805,2.818,-36.85,-36.85,-1.7743079716581178e-07,-1.7743079716581178e-05,-0.00043442552149031144,-0.00043442552149031144,6.807428418762372
139,625,6.0,2.0,0.0,55,front,True,,10.1,1.73,180.0,inner,left,6.055,2.0,0.0,356.1812245520921,4.0540011100146485,3.8187754479079103,3.8187754479079103,4.2429,-3.432,-2.165,0.1888988899853512,18.88988899853512,-7.250775447907898,-5.983775447907902,4.0619,5.226,5.226,0.007898889985351154,0.7898889985351154,1.4072245520920887,1.4072245520920887,6.793280493800448
73,624,4.0,3.0,180.0,43,front,True,,1.22,1.73,0.0,inner,right,3.945,3.0,180.0,204.9881103098627,3.0064139768168983,-24.98811030986269,-24.98811030986269,2.956,-25.1,31.6,-0.0504139768168983,-5.04139768168983,-0.11188969013730343,56.588110309862685,3.05,-26.7,-26.7,0.04358602318310156,4.358602318310156,-1.7118896901372977,-1.7118896901372977,6.704387130703336
213,625,7.0,4.0,180.0,41,front,True,,1.2,3.7,0.0,inner,right,6.945,4.0,180.0,182.98923161424847,5.752827565641091,-2.9892316142484674,-2.9892316142484674,5.5535,-6.881,-17.049,-0.19932756564109155,-19.932756564109155,-3.891768385751533,-14.05976838575154,5.7589,-3.983,-3.983,0.006072434358908474,0.6072434358908474,-0.9937683857515367,-0.9937683857515367,6.689784279980829
47,624,3.0,4.0,0.0,56,front,True,,10.1,2.75,180.0,inner,left,3.055,4.0,0.0,349.93867434793276,7.155034940515664,10.06132565206724,10.06132565206724,7.384,4.6,7.6,0.2289650594843362,22.89650594843362,-5.461325652067245,-2.461325652067245,7.173,10.8,10.8,0.01796505948433591,1.796505948433591,0.738674347932772,0.738674347932772,6.6458756389158635
248,625,8.0,4.0,0.0,55,front,True,,10.1,1.73,180.0,inner,left,8.055,4.0,0.0,312.0150902600749,3.055310949805273,47.984909739925115,47.984909739925115,3.2581,40.857,45.85,0.20278905019472715,20.278905019472717,-7.127909739925116,-2.1349097399251207,3.1303,49.21,49.21,0.07498905019472701,7.498905019472701,1.225090260074893,1.225090260074893,6.645241891195427
115,624,5.0,3.0,270.0,47,front,True,,3.56,0.1,90.0,inner,up,5.0,2.945,270.0,243.15369550233947,3.188671353400974,26.846304497660526,26.846304497660526,3.183,24.8,-30.8,-0.005671353400974244,-0.5671353400974244,-2.0463044976605147,-57.64630449766052,3.189,26.8,26.8,0.0003286465990259835,0.03286465990259835,-0.0463044976605147,-0.0463044976605147,6.5601590170057085
218,625,7.0,4.0,270.0,34,rear,True,,6.45,5.2,270.0,inner,down,7.0,4.075,90.0,116.05349531049094,1.2522479786368192,-26.053495310490945,-26.053495310490916,1.1696,-14.711,-14.951,-0.08264797863681927,-8.264797863681927,11.342495310490932,11.102495310490923,1.2702,-25.657,-25.657,0.017952021363180748,1.7952021363180748,0.3964953104909341,0.3964953104909057,6.544040873949122
225,625,8.0,3.0,0.0,56,front,True,,10.1,2.75,180.0,inner,left,8.055,3.0,0.0,353.0302096456798,2.0602245023297825,6.969790354320196,6.969790354320139,2.2982,3.023,2.53,0.23797549767021753,23.797549767021753,-3.9467903543202,-4.439790354320138,2.0747,9.712,9.712,0.014475497670217496,1.4475497670217496,2.742209645679793,2.74220964567985,6.519085773609764
203,625,7.0,4.0,0.0,55,front,True,,10.1,1.73,180.0,inner,left,7.055,4.0,0.0,323.2960454327222,3.79801592940314,36.703954567277776,36.70395456727783,4.075,34.103,35.944,0.27698407059686003,27.698407059686005,-2.6009545672777676,-0.7599545672778163,3.8586,37.895,37.895,0.060584070596859885,6.0584070596859885,1.191045432722234,1.191045432722177,6.482661724424238
