source_row,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,ok,reason,tag_x_m,tag_y_m,tag_yaw_deg,tag_room,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,bearing_world_deg,pred_distance_m,pred_angle_deg,pred_yaw_deg,meas_distance_m,meas_angle_deg,meas_yaw_deg,meas_distance_residual_m,meas_distance_residual_cm,meas_angle_residual_deg,meas_yaw_residual_deg,true_distance_m,true_angle_deg,true_yaw_deg,true_distance_delta_m,true_distance_delta_cm,true_angle_delta_deg,true_yaw_delta_deg
33,624,3.0,3.0,180.0,41,front,True,,1.2,3.7,0.0,inner,right,2.945,3.0,180.0,158.14200210783767,1.880166216056442,21.85799789216233,21.85799789216233,1.894,19.6,19.3,0.013833783943557831,1.3833783943557831,-2.2579978921623365,-2.5579978921623194,1.845,19.0,19.0,-0.0351662160564421,-3.51662160564421,-2.857997892162331,-2.857997892162331
34,624,3.0,3.0,180.0,42,front,True,,1.22,2.75,0.0,inner,right,2.945,3.0,180.0,188.24632081446853,1.7430218013553358,-8.246320814468532,-8.246320814468532,1.769,-11.8,9.2,0.025978198644664108,2.5978198644664108,-3.553679185531479,17.44632081446852,1.76,-11.5,-11.5,0.01697819864466421,1.697819864466421,-3.2536791855314675,-3.2536791855314675
35,624,3.0,3.0,180.0,43,front,True,,1.22,1.73,0.0,inner,right,2.945,3.0,180.0,216.3616851057087,2.142084265382667,-36.36168510570869,-36.36168510570869,2.136,-29.7,-46.6,-0.006084265382666931,-0.6084265382666931,6.661685105708699,-10.238314894291307,2.203,-38.5,-38.5,0.060915734617332795,6.0915734617332795,-2.1383148942913124,-2.1383148942913124
36,624,3.0,3.0,270.0,37,rear,True,,3.59,5.2,270.0,inner,down,3.0,3.075,90.0,74.48284237451173,2.205385453837945,15.517157625488267,15.517157625488267,2.156,20.4,-2.3,-0.049385453837945015,-4.9385453837945015,4.882842374511739,-17.817157625488278,2.225,15.4,15.4,0.019614546162054936,1.9614546162054936,-0.11715762548826092,-0.11715762548826092
37,624,3.0,3.0,270.0,38,rear,True,,2.63,5.2,270.0,inner,down,3.0,3.075,90.0,99.8771853124141,2.156971256183077,-9.877185312414099,-9.877185312414099,2.127,-7.0,-2.3,-0.029971256183077166,-2.9971256183077166,2.877185312414099,7.5771853124140875,2.177,-9.8,-9.8,0.0200287438169231,2.00287438169231,0.07718531241408755,0.07718531241408755
38,624,3.0,3.0,270.0,44,front,True,,1.22,0.71,0.0,inner,right,3.0,2.945,270.0,231.4654624498538,2.8572058028780494,38.53453755014621,-51.46546244985379,2.874,38.1,-56.3,0.016794197121950738,1.6794197121950738,-0.4345375501462172,-4.8345375501461945,2.936,37.3,-52.7,0.07879419712195057,7.879419712195057,-1.2345375501462286,-1.2345375501462286
39,624,3.0,3.0,270.0,45,front,True,,1.67,0.1,90.0,inner,up,3.0,2.945,270.0,244.94453093317335,3.140529413968288,25.055469066826646,25.055469066826646,3.141,24.8,25.5,0.00047058603171201696,0.047058603171201696,-0.2554690668266346,0.444530933173354,3.141,25.1,25.1,0.00047058603171201696,0.047058603171201696,0.04453093317334833,0.04453093317334833
40,624,3.0,3.0,270.0,46,front,True,,2.62,0.1,90.0,inner,up,3.0,2.945,270.0,262.3921654771549,2.87026566714651,7.60783452284511,7.60783452284511,2.849,5.6,-10.0,-0.02126566714650968,-2.126566714650968,-2.0078345228451155,-17.60783452284511,2.87,7.6,7.6,-0.00026566714650977374,-0.026566714650977374,-0.007834522845115544,-0.007834522845115544
41,624,3.0,3.0,270.0,47,front,True,,3.56,0.1,90.0,inner,up,3.0,2.945,270.0,281.1355461286291,2.8995904883276187,-11.135546128629073,-11.135546128629073,2.906,-13.2,-14.8,0.006409511672381463,0.6409511672381463,-2.0644538713709153,-3.664453871370938,2.9,-11.1,-11.1,0.0004095116723812353,0.04095116723812353,0.03554612862907902,0.03554612862907902
42,624,3.0,3.0,270.0,48,front,True,,4.51,0.1,90.0,inner,up,3.0,2.945,270.0,297.9573827943552,3.2208888524753534,-27.957382794355226,-27.957382794355226,3.178,-25.2,-37.4,-0.042888852475353456,-4.288885247535346,2.7573827943552374,-9.44261720564478,3.221,-28.0,-28.0,0.00011114752464669309,0.011114752464669309,-0.042617205644774,-0.042617205644774
43,624,3.0,3.0,270.0,49,front,True,,5.45,0.1,90.0,inner,up,3.0,2.945,270.0,310.7337127932086,3.7545339258022428,-40.73371279320861,-40.73371279320861,3.747,-31.2,-51.1,-0.00753392580224288,-0.753392580224288,9.533712793208622,-10.366287206791384,3.755,-40.7,-40.7,0.000466074197757127,0.0466074197757127,0.03371279320862186,0.03371279320862186
44,624,3.0,4.0,0.0,36,front,True,,4.54,4.74,270.0,inner,down,3.055,4.0,0.0,26.487833192140023,1.6591639460885113,-26.487833192140016,63.51216680786001,1.669,-25.8,60.8,0.009836053911488785,0.9836053911488785,0.6878331921400047,-2.712166807860001,1.659,-26.5,63.5,-0.00016394608851122427,-0.016394608851122427,-0.012166807859983919,-0.01216680786001234
45,624,3.0,4.0,0.0,40,rear,True,,1.2,4.7,0.0,inner,right,2.925,4.0,180.0,157.91282839677166,1.8616189191131465,22.08717160322834,22.08717160322834,1.798,22.0,11.5,-0.06361891911314643,-6.361891911314643,-0.08717160322834161,-10.587171603228342,1.845,19.0,19.0,-0.016618919113146502,-1.6618919113146502,-3.0871716032283416,-3.0871716032283416
46,624,3.0,4.0,0.0,41,rear,True,,1.2,3.7,0.0,inner,right,2.925,4.0,180.0,189.86580694308435,1.7508926294893126,-9.865806943084351,-9.865806943084351,1.732,-12.4,-2.3,-0.018892629489312585,-1.8892629489312585,-2.5341930569156546,7.56580694308434,1.79,-12.9,-12.9,0.03910737051068747,3.9107370510687467,-3.0341930569156546,-3.0341930569156546
47,624,3.0,4.0,0.0,56,front,True,,10.1,2.75,180.0,inner,left,3.055,4.0,0.0,349.93867434793276,7.155034940515664,10.06132565206724,10.06132565206724,7.384,4.6,7.6,0.2289650594843362,22.89650594843362,-5.461325652067245,-2.461325652067245,7.173,10.8,10.8,0.01796505948433591,1.796505948433591,0.738674347932772,0.738674347932772
48,624,3.0,4.0,0.0,57,front,True,,10.1,3.77,180.0,inner,left,3.055,4.0,0.0,358.1301135029558,7.048753435892051,1.869886497044206,1.8698864970442628,7.133,-3.8,14.6,0.08424656410794906,8.424656410794906,-5.669886497044217,12.730113502955732,7.053,2.7,2.7,0.004246564107948991,0.42465641079489913,0.8301135029557827,0.8301135029557258
