dataset,source_file,gt_x,gt_y,gt_h,tag_id,camera_role,true_distance_m,meas_distance_m,distance_error_cm,true_angle_deg,meas_angle_deg,angle_error_deg,true_yaw_deg,meas_yaw_deg,yaw_error_deg,single_ok,single_x,single_y,single_h,single_pos_err_cm,single_heading_err_deg,score,flag
624,measure11-0624(1).txt,5,3,0,55,front,5.228,5.385,15.7,15.2,10.9,-4.3,15.2,9.3,-5.9,TRUE,4.7309,2.498,1.6,56.96,1.6,5.75,DIST|LOW_YAW|FAR
624,measure11-0624(1).txt,5,3,0,56,front,5.057,5.188,13.1,4,-1,-4.9,4,7.2,3.3,TRUE,4.8982,3.3053,351.8,32.19,8.2,4.93,LOW_YAW|FAR
624,measure11-0624(1).txt,5,3,0,57,front,5.089,4.847,-24.2,-7.6,-11.8,-4.2,-7.6,14,21.6,TRUE,5.3468,4.8696,334.2,190.15,25.8,10.57,DIST|YAW|FAR
624,measure11-0624(1).txt,5,3,90,34,front,2.589,2.595,0.6,34.1,33.4,-0.7,34.1,36.4,2.3,TRUE,4.9087,3.0552,87,10.67,3,0.81,EDGE
624,measure11-0624(1).txt,5,3,90,35,front,2.203,2.204,0.2,13.1,10.9,-2.2,13.1,11.1,-2,TRUE,5.0748,2.9829,89.8,7.67,0.2,1.17,OK
624,measure11-0624(1).txt,5,3,90,36,front,1.747,1.73,-1.7,-15.3,-16.9,-1.6,-15.3,-19.6,-4.3,TRUE,5.1219,3.0554,92.7,13.39,2.7,1.75,OK
624,measure11-0624(1).txt,5,3,90,37,front,2.567,2.493,-7.4,-33.3,-28.5,4.9,-33.3,-42,-8.7,TRUE,5.2716,3.2944,103.5,40.06,13.5,4.84,OK
624,measure11-0624(1).txt,5,3,90,48,rear,2.887,2.874,-1.2,9.8,14.3,4.6,9.8,-2.3,-12.1,TRUE,4.3776,3.0245,106.6,62.29,16.6,4.19,YAW|LOW_YAW
624,measure11-0624(1).txt,5,3,90,49,rear,2.88,2.944,6.4,-9,-5.7,3.3,-9,-2.3,6.6,TRUE,5.3356,3.097,86.6,34.94,3.4,3.69,LOW_YAW
624,measure11-0624(1).txt,5,3,180,38,front,3.194,3.184,-1,43.5,39.9,-3.7,-46.5,-52.9,-6.4,TRUE,5.2226,3.2807,182.8,35.82,2.8,2.7,EDGE|FAR
624,measure11-0624(1).txt,5,3,180,39,front,3.945,3.928,-1.7,33.9,30.8,-3.1,-56.1,-57.8,-1.7,TRUE,5.0494,3.1058,178.6,11.68,1.4,1.71,EDGE|FAR
624,measure11-0624(1).txt,5,3,180,40,front,4.072,4.044,-2.8,23.1,20.7,-2.4,23.1,-31.1,-54.2,TRUE,4.6962,6.7297,231.8,374.2,51.8,12.22,YAW|FAR
624,measure11-0624(1).txt,5,3,180,41,front,3.793,3.824,3.1,9.1,5.2,-3.9,9.1,-10.8,-19.9,TRUE,5.0089,4.3316,196,133.16,16,5.89,YAW|FAR
624,measure11-0624(1).txt,5,3,180,42,front,3.741,3.711,-3.1,-5.4,-9.7,-4.3,-5.4,-2.1,3.3,TRUE,4.9836,2.7767,172.4,22.39,7.6,2.7,LOW_YAW|FAR
624,measure11-0624(1).txt,5,3,180,44,front,4.426,4.279,-14.7,-32.7,-28.8,3.8,-32.7,-44.7,-12,TRUE,4.3149,3.6338,195.9,93.33,15.9,6.62,FAR
624,measure11-0624(1).txt,5,3,270,35,rear,2.203,2.161,-4.2,13.1,17.8,4.6,13.1,-2.3,-15.5,TRUE,5.6049,2.9898,290.1,60.5,20.1,5.47,YAW|LOW_YAW
624,measure11-0624(1).txt,5,3,270,36,rear,1.747,1.723,-2.4,-15.3,-12.9,2.4,-15.3,-2.3,12.9,TRUE,4.598,2.9644,259.4,40.35,10.6,3.85,YAW|LOW_YAW
624,measure11-0624(1).txt,5,3,270,46,front,3.709,3.674,-3.5,39.9,37.8,-2.1,39.9,42.5,2.6,TRUE,5.1075,2.8632,265.3,17.4,4.7,1.9,EDGE|FAR
624,measure11-0624(1).txt,5,3,270,47,front,3.189,3.183,-0.6,26.8,24.8,-2.1,26.8,-30.8,-57.7,TRUE,1.8869,2.8637,325.6,311.6,55.6,12.35,YAW|FAR
624,measure11-0624(1).txt,5,3,270,48,front,2.887,2.893,0.6,9.8,5.7,-4,9.8,-10.1,-19.8,TRUE,3.9863,3.0012,285.8,101.37,15.8,5.43,YAW
624,measure11-0624(1).txt,5,3,270,49,front,2.88,2.873,-0.8,-9,-13,-4.1,-9,-11.4,-2.4,TRUE,4.8842,2.9718,268.4,11.92,1.6,1.99,OK
624,measure11-0624(1).txt,5,4,0,34,front,1.84,1.821,-1.9,-40.7,-31.4,9.3,49.3,54.6,5.3,TRUE,4.9108,4.1412,4,16.7,4,4.54,ANGLE|EDGE
624,measure11-0624(1).txt,5,4,0,40,rear,3.793,3.817,2.4,9.1,15.6,6.5,9.1,-2.3,-11.4,TRUE,5.066,4.77,17.9,77.28,17.9,4.92,LOW_YAW|FAR
624,measure11-0624(1).txt,5,4,0,55,front,5.574,5.773,19.9,25.2,21.4,-3.7,25.2,19.7,-5.5,TRUE,4.6084,3.5711,1.7,58.07,1.7,6.32,DIST|FAR
624,measure11-0624(1).txt,5,4,0,56,front,5.223,5.408,18.6,15,10.4,-4.6,15,8.9,-6.1,TRUE,4.7022,3.4834,1.5,59.63,1.5,6.47,DIST|LOW_YAW|FAR
624,measure11-0624(1).txt,5,4,0,57,front,5.056,5.145,8.9,3.7,-1.4,-5.2,3.7,10.5,6.8,TRUE,4.9878,4.6227,348.1,62.28,11.9,4.87,FAR
624,measure11-0624(1).txt,5,4,90,35,front,1.249,1.276,2.6,23.6,23.1,-0.5,23.6,24.1,0.5,TRUE,4.978,3.9798,89,2.99,1,0.79,OK
624,measure11-0624(1).txt,5,4,90,36,front,0.825,0.814,-1.1,-33.9,-27.8,6.1,-33.9,-40.7,-6.8,TRUE,5.0829,4.069,102.9,10.79,12.9,3.62,OK
624,measure11-0624(1).txt,5,4,90,48,rear,3.876,3.962,8.5,7.3,12.1,4.9,7.3,-2.3,-9.6,TRUE,4.3348,4.1125,104.4,67.46,14.4,5.25,LOW_YAW|FAR
624,measure11-0624(1).txt,5,4,90,49,rear,3.871,3.893,2.2,-6.7,-2.7,3.9,-6.7,-2.3,4.3,TRUE,5.2958,4.0453,89.6,29.92,0.4,2.62,LOW_YAW|FAR
624,measure11-0624(1).txt,5,4,90,50,rear,3.914,4.105,19.1,-21,-18.3,2.6,-21,-2.3,18.6,TRUE,6.2531,4.4455,74,132.99,16,8.43,DIST|YAW|LOW_YAW|F
624,measure11-0624(1).txt,5,4,180,38,front,2.608,2.587,-2,27.4,25.2,-2.3,-62.6,-62.8,-0.2,TRUE,4.9855,4.0158,178,2.14,2,1.2,OK
624,measure11-0624(1).txt,5,4,180,40,front,3.793,3.743,-4.9,9.1,6.5,-2.6,9.1,-14.1,-23.2,TRUE,4.8815,5.5311,200.6,153.57,20.6,6.49,YAW|FAR
624,measure11-0624(1).txt,5,4,180,41,front,3.766,3.8,3.4,-6.1,-9.2,-3.1,-6.1,-2.1,4,TRUE,5.0523,3.7323,172.9,27.28,7.1,2.52,LOW_YAW|FAR
