combo_index,core_reject_threshold,core_support_threshold,yaw_support_threshold,yaw_bonus_weight,min_decision_score_gap,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
11,0.8,0.6,2.5,0.25,0.3,1.0,0.045204595437945805,0.03937918699612849,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.1703778058225418,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6410256410256411,0.9487179487179487,1.0,1.0,0.9487179487179487,20,20,0.5560538999998244
12,0.8,0.6,2.5,0.25,0.5,1.0,0.043568592170901886,0.039000801549351816,0.07193072873812736,0.08420754069997671,0.11184192837797675,1.1722683939805398,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,19,19,0.544217499998922
13,0.8,0.8,1.5,0.25,0.3,1.0,0.045204595437945805,0.03937918699612849,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.1703778058225418,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6410256410256411,0.9487179487179487,1.0,1.0,0.9487179487179487,20,20,0.5598769000025641
14,0.8,0.8,1.5,0.25,0.5,1.0,0.043568592170901886,0.039000801549351816,0.07193072873812736,0.08420754069997671,0.11184192837797675,1.1722683939805398,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,19,19,0.5464296999998624
15,0.8,0.8,2.0,0.25,0.3,1.0,0.045204595437945805,0.03937918699612849,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.1703778058225418,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6410256410256411,0.9487179487179487,1.0,1.0,0.9487179487179487,20,20,0.5553966999978002
16,0.8,0.8,2.0,0.25,0.5,1.0,0.043568592170901886,0.039000801549351816,0.07193072873812736,0.08420754069997671,0.11184192837797675,1.1722683939805398,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,19,19,0.5521466999998665
17,0.8,0.8,2.5,0.25,0.3,1.0,0.045204595437945805,0.03937918699612849,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.1703778058225418,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6410256410256411,0.9487179487179487,1.0,1.0,0.9487179487179487,20,20,0.559891199998674
18,0.8,0.8,2.5,0.25,0.5,1.0,0.043568592170901886,0.039000801549351816,0.07193072873812736,0.08420754069997671,0.11184192837797675,1.1722683939805398,0.6283898174763749,2.880835021029327,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,19,19,0.5508703000014066
19,1.0,0.4,1.5,0.25,0.3,1.0,0.04269058385203412,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2295263744195473,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.4655079999974987
20,1.0,0.4,1.5,0.25,0.5,1.0,0.04269058385203412,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2295263744195473,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.46771020000232966
