sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision
12,5.0,1.0,115.0,115.0,49,rear,A,0.868,0.936,-0.067,-2.8,-2.2,-0.6,-29.1,-27.2,-1.8,-2.2,-29.1,-27.2,-1.8,56.3,keep,-1.8,-54.5,54.5,-27.2,accept_keep_quantized
13,5.0,2.0,115.0,115.0,35,front,A,3.147,3.184,-0.037,37.0,34.3,2.7,28.4,9.3,19.1,34.3,28.4,9.3,19.1,-37.7,keep,19.1,-18.6,18.6,,reject_edge
13,5.0,2.0,115.0,115.0,36,front,A,2.764,2.709,0.055,17.8,15.7,2.1,-5.7,-9.3,3.6,15.7,-5.7,-9.3,3.6,15.0,keep,3.6,-11.3,11.3,,ambiguous_low_separation
13,5.0,2.0,115.0,115.0,37,front,A,3.442,3.432,0.011,1.6,1.3,0.3,-23.1,-23.7,0.6,1.3,-23.1,-23.7,0.6,46.8,keep,0.6,-46.1,46.1,-23.7,accept_keep_quantized
13,5.0,2.0,115.0,115.0,38,front,A,3.863,3.919,-0.056,-11.5,-11.7,0.2,-36.5,-36.7,0.2,-11.7,-36.5,-36.7,0.2,73.2,keep,0.2,-73.0,73.0,-36.7,accept_keep_quantized
13,5.0,2.0,115.0,115.0,39,front,A,4.574,4.561,0.013,-19.5,-21.5,1.9,-45.5,-46.5,0.9,-21.5,-45.5,-46.5,0.9,92.0,keep,0.9,-91.0,91.0,-46.5,accept_keep_quantized
13,5.0,2.0,115.0,115.0,40,front,A,4.486,4.616,-0.129,-25.2,-29.9,4.8,-41.5,35.1,-76.6,-29.9,-41.5,35.1,-76.6,6.4,flip,6.4,70.2,70.2,35.1,accept_flip_quantized
13,5.0,2.0,115.0,115.0,41,front,A,4.063,4.12,-0.057,-30.7,-41.5,10.7,37.6,23.5,14.0,-41.5,37.6,23.5,14.0,-61.1,keep,14.0,-47.1,47.1,,reject_edge
13,5.0,2.0,115.0,115.0,49,rear,A,1.885,1.881,0.004,11.8,11.8,-0.0,-8.5,-13.2,4.7,11.8,-8.5,-13.2,4.7,21.6,keep,4.7,-16.9,16.9,,reject_edge
13,5.0,2.0,115.0,115.0,50,rear,A,2.15,2.143,0.006,-17.0,-14.9,-2.1,-39.3,-39.9,0.6,-14.9,-39.3,-39.9,0.6,79.2,keep,0.6,-78.6,78.6,,reject_edge
14,5.0,3.0,245.0,245.0,44,front,A,4.301,4.377,-0.076,36.3,34.2,2.1,-40.3,-30.8,-9.5,34.2,-40.3,-30.8,-9.5,71.1,keep,-9.5,-61.6,61.6,,reject_edge
