sample_uid,observation_uid,tag_id,camera_role,component_pattern,distance_use,distance_use_reason,angle_use,angle_use_reason,yaw_use,yaw_use_reason
repeat10_s008,repeat10_s008_o050,49,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
repeat10_s008,repeat10_s008_o051,50,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
repeat10_s008,repeat10_s008_o052,51,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
repeat10_s008,repeat10_s008_o053,34,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s009,repeat10_s009_o054,31,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s009,repeat10_s009_o056,55,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s009,repeat10_s009_o057,56,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
repeat10_s009,repeat10_s009_o058,57,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s010,repeat10_s010_o060,50,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
repeat10_s010,repeat10_s010_o061,51,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s010,repeat10_s010_o062,52,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
repeat10_s010,repeat10_s010_o063,53,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
repeat10_s010,repeat10_s010_o064,58,rear,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
