sample_uid,observation_uid,tag_id,camera_role,distance_residual_m_signed,distance_residual_sigma_signed,angle_residual_deg_signed,angle_residual_sigma_signed,distance_peer_median_sigma,distance_m2_signed,distance_m2_abs
main29_s003,main29_s003_o016,46,front,0.004145336045620951,0.08290672091241902,0.6699850480387397,0.22332834934624657,0.05022515384191184,0.03268156707050718,0.03268156707050718
main29_s003,main29_s003_o017,47,front,0.04439363454904033,0.8878726909808066,-6.541029962858431,-1.5417355475605294,0.03725166784777301,0.8506210231330336,0.8506210231330336
main29_s003,main29_s003_o018,38,rear,-0.00042016926084365025,-0.008403385216873005,-3.067462470212263,-0.723007837907443,0.09588020690655785,-0.10428359212343086,0.10428359212343086
main29_s003,main29_s003_o019,39,rear,0.005505423313148405,0.11010846626296811,-1.5237025767012256,-0.35914014149895074,0.03725166784777301,0.0728567984151951,0.0728567984151951
main29_s004,main29_s004_o020,45,front,0.04854684768638817,0.9709369537277635,-1.129578695666396,-0.3765262318887987,0.6423066292358431,0.3286303244919203,0.3286303244919203
main29_s004,main29_s004_o021,46,front,0.006320564513226046,0.12641129026452091,0.5677943196691899,0.18926477322306332,0.7734348231645338,-0.6470235329000129,0.6470235329000129
main29_s004,main29_s004_o022,47,front,-0.11619069126527215,-2.323813825305443,1.4618498174402248,0.4872832724800749,0.7734348231645338,-3.097248648469977,3.097248648469977
main29_s004,main29_s004_o023,48,front,0.11578885037632336,1.937518052564096,0.7603196506030088,0.2534398835343363,0.6423066292358431,1.295211423328253,1.295211423328253
main29_s004,main29_s004_o024,49,front,0.03838516296139094,0.6423066292358431,-1.2676745859271819,-0.42255819530906064,0.7734348231645338,-0.13112819392869068,0.13112819392869068
main29_s004,main29_s004_o025,39,rear,0.03867174115822669,0.7734348231645338,-0.385183560887981,-0.12839452029599366,0.6423066292358431,0.13112819392869068,0.13112819392869068
main29_s005,main29_s005_o026,35,front,0.023998277074751773,0.47996554149503545,-0.22252482306350885,-0.07417494102116962,0.0027723221970887835,0.47719321929794667,0.47719321929794667
main29_s005,main29_s005_o027,36,front,0.00013861610985443917,0.0027723221970887835,0.9390172192859438,0.31300573976198126,0.36848363671627027,-0.3657113145191815,0.3657113145191815
main29_s005,main29_s005_o028,37,front,-0.020980842766575414,-0.4196168553315083,0.8457298004532277,0.28190993348440924,0.36848363671627027,-0.7881004920477785,0.7881004920477785
main29_s005,main29_s005_o029,38,front,0.018424181835813513,0.36848363671627027,-4.593328435246974,-1.0826578949267096,0.0027723221970887835,0.3657113145191815,0.3657113145191815
main29_s005,main29_s005_o031,45,rear,-0.01009169503223184,-0.2018339006446368,-0.4724710634497171,-0.15749035448323903,0.36848363671627027,-0.5703175373609071,0.5703175373609071
main29_s005,main29_s005_o032,46,rear,0.020936205818274933,0.41872411636549867,1.2118053055260134,0.4039351018420045,0.0027723221970887835,0.4159517941684099,0.4159517941684099
main29_s006,main29_s006_o033,45,front,0.019879362905519837,0.39758725811039675,0.08487945860099444,0.028293152866998145,0.009296082042133946,0.3882911760682628,0.3882911760682628
main29_s006,main29_s006_o034,46,front,0.0004648041021066973,0.009296082042133946,2.0888644873448357,0.6962881624482785,0.06082796428716897,-0.05153188224503502,0.05153188224503502
main29_s006,main29_s006_o035,47,front,-0.026025824799448483,-0.5205164959889697,0.341098270478426,0.11369942349280866,0.06082796428716897,-0.5813444602761386,0.5813444602761386
main29_s006,main29_s006_o036,48,front,0.01819773137859526,0.3639546275719052,-6.060926925521642,-1.4285741764374953,0.009296082042133946,0.3546585455297713,0.3546585455297713
main29_s006,main29_s006_o037,37,rear,0.0030413982143584484,0.06082796428716897,-0.9646304031510908,-0.3215434677170303,0.009296082042133946,0.05153188224503502,0.05153188224503502
main29_s006,main29_s006_o038,38,rear,-0.006299165193929035,-0.1259833038785807,1.4357154449766938,0.4785718149922313,0.06082796428716897,-0.18681126816574967,0.18681126816574967
main29_s007,main29_s007_o041,45,front,0.03341230545159135,0.668246109031827,-1.2492226319753854,-0.294444598093834,0.24821959154087025,0.42002651749095676,0.42002651749095676
main29_s007,main29_s007_o042,46,front,0.012410979577043513,0.24821959154087025,0.1335211486818082,0.04450704956060273,0.5327242909638308,-0.2845046994229605,0.2845046994229605
main29_s007,main29_s007_o043,47,front,-0.016668839116473766,-0.3333767823294753,1.3050849667535829,0.4350283222511943,0.5327242909638308,-0.8661010732933061,0.8661010732933061
main29_s007,main29_s007_o044,48,front,0.02663621454819154,0.5327242909638308,0.5001942933958503,0.1667314311319501,0.24821959154087025,0.2845046994229605,0.2845046994229605
main29_s007,main29_s007_o045,49,front,-0.009678280016567342,-0.1619486003093089,-2.584515074142928,-0.8615050247143093,0.5327242909638308,-0.6946728912731397,0.6946728912731397
main29_s007,main29_s007_o046,38,rear,0.04125665552330671,0.8251331104661341,2.368798731717419,0.5583312154878268,0.24821959154087025,0.5769135189252639,0.5769135189252639
main29_s008,main29_s008_o048,38,front,-0.012254126124033426,-0.24508252248066853,0.8023931107144904,0.26746437023816344,0.8734307351898634,-1.118513257670532,1.118513257670532
main29_s008,main29_s008_o049,39,front,0.05458061064552311,0.9133083030185881,1.6454676207167438,0.5484892069055812,0.3541786795989399,0.5591296234196482,0.5591296234196482
main29_s008,main29_s008_o050,41,front,0.041677658368056925,0.8335531673611385,0.112000515952559,0.037333505317519666,0.3940562474276647,0.4394969199334738,0.4394969199334738
main29_s008,main29_s008_o051,42,front,-0.006259790408162935,-0.1251958081632587,-4.06090084248757,-0.9571635078163748,0.8734307351898634,-0.9986265433531221,0.9986265433531221
main29_s008,main29_s008_o052,48,rear,0.05600856837115975,1.120171367423195,-0.42205118114983975,-0.14068372704994658,0.3541786795989399,0.7659926878242551,0.7659926878242551
main29_s009,main29_s009_o053,34,front,0.01595023711597543,0.3190047423195086,-0.11436905390348784,-0.03812301796782928,-0.051972139722193944,0.37097688204170254,0.37097688204170254
main29_s009,main29_s009_o054,35,front,-0.002598606986109697,-0.051972139722193944,1.3003860905930082,0.43346203019766943,0.3190047423195086,-0.37097688204170254,0.37097688204170254
main29_s009,main29_s009_o055,36,front,-0.010787657913543747,-0.21575315827087493,1.1566998363658456,0.38556661212194854,0.3190047423195086,-0.5347579005903835,0.5347579005903835
main29_s009,main29_s009_o056,37,front,0.03574742953520271,0.7149485907040543,-4.566179743260193,-1.0762588868586438,-0.051972139722193944,0.7669207304262482,0.7669207304262482
main29_s009,main29_s009_o057,46,rear,-0.009851163229262827,-0.19702326458525654,-0.6079243956155551,-0.14328915419616417,0.3190047423195086,-0.5160280069047651,0.5160280069047651
main29_s009,main29_s009_o058,47,rear,0.03800854857237379,0.7601709714474758,0.6548137515778194,0.1543410813849598,-0.051972139722193944,0.8121431111696698,0.8121431111696698
main29_s010,main29_s010_o060,45,front,0.03880732529083053,0.7761465058166106,-0.10488546257141707,-0.034961820857139024,-0.1842597540188784,0.960406259835489,0.960406259835489
main29_s010,main29_s010_o061,46,front,-0.02831259537527453,-0.5662519075054906,1.3020679089096632,0.4340226363032211,-0.1487776114973321,-0.4174742960081585,0.4174742960081585
main29_s010,main29_s010_o062,48,front,-0.00921298770094392,-0.1842597540188784,-2.8053763958180014,-0.9351254652726672,-0.1487776114973321,-0.0354821425215463,0.0354821425215463
main29_s010,main29_s010_o063,35,rear,-0.009603553526961406,-0.1487776114973321,1.5496528066338442,0.5165509355446147,-0.1842597540188784,0.0354821425215463,0.0354821425215463
