sample_uid,observation_uid,tag_id,camera_role,distance_use,distance_use_reason,distance_m2_signed,distance_m2_abs,angle_use,angle_use_reason,yaw_use,yaw_use_reason,yaw_mode,yaw_resolved_deg,predicted_yaw_deg
main29_s017,main29_s017_o113,34,rear,True,kept_m2_abs_lt_0p95,0.36040623942641403,0.36040623942641403,True,kept_no_second_screen,True,accept_keep,keep,17.30000000000001,17.16678537182065
main29_s018,main29_s018_o114,31,front,True,kept_m2_abs_lt_0p95,0.5434818982138534,0.5434818982138534,True,kept_no_second_screen,True,accept_keep,keep,42.400000000000006,45.86205633051725
main29_s018,main29_s018_o116,55,front,True,kept_m2_abs_lt_0p95,0.16399197529287868,0.16399197529287868,True,kept_no_second_screen,True,accept_keep,keep,-13.599999999999994,-10.072487659226454
main29_s018,main29_s018_o117,56,front,True,kept_m2_abs_lt_0p95,-0.16399197529287868,0.16399197529287868,True,kept_no_second_screen,True,accept_keep,keep,-26.400000000000006,-25.983389483045244
main29_s018,main29_s018_o118,57,front,True,kept_m2_abs_lt_0p95,-0.6631263554525191,0.6631263554525191,True,kept_no_second_screen,True,accept_keep,keep,-39.400000000000006,-38.537554825955226
main29_s019,main29_s019_o119,32,front,True,kept_m2_abs_lt_0p95,0.17650937974641678,0.17650937974641678,True,kept_no_second_screen,True,accept_keep,keep,20.599999999999994,23.52773045320248
main29_s019,main29_s019_o120,33,front,True,kept_m2_abs_lt_0p95,-0.17650937974641678,0.17650937974641678,True,kept_no_second_screen,False,reject_small_predicted_yaw,flip,,7.286302692248114
main29_s019,main29_s019_o123,49,rear,True,kept_m2_abs_lt_0p95,-0.5140242059982469,0.5140242059982469,True,kept_no_second_screen,True,accept_keep,keep,37.69999999999999,38.621479623789156
main29_s019,main29_s019_o124,50,rear,True,kept_m2_abs_lt_0p95,0.4518821934526285,0.4518821934526285,True,kept_no_second_screen,False,reject_poor_keep_flip_match,keep,,17.96633057833995
main29_s020,main29_s020_o125,48,front,False,rejected_m2_abs_ge_0p95,1.4337948964531577,1.4337948964531577,True,kept_no_second_screen,True,accept_keep,keep,38.5,41.132518461252744
