combo_index,core_reject_threshold,core_support_threshold,yaw_support_threshold,yaw_bonus_weight,min_decision_score_gap,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
54,1.2,0.8,2.5,0.25,0.5,1.0,0.04205148223957594,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1298523827034979,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,6,6,0.43278170000121463
55,1.4,0.4,1.5,0.25,0.3,1.0,0.04184501385542094,0.03669010838149788,0.07407551106525607,0.07831079408126229,0.11427054170269618,1.1310711133495335,0.8784307628236547,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,7,7,0.4354557000006025
56,1.4,0.4,1.5,0.25,0.5,1.0,0.04113590214741534,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1257994624185421,0.8784307628236547,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,6,6,0.4262974999983271
57,1.4,0.4,2.0,0.25,0.3,1.0,0.04094509167325565,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1241043121858287,0.8784307628236547,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.41668099999878905
58,1.4,0.4,2.0,0.25,0.5,1.0,0.04094509167325565,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1241043121858287,0.8784307628236547,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.41588319999937085
59,1.4,0.4,2.5,0.25,0.3,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.42886360000193235
60,1.4,0.4,2.5,0.25,0.5,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.40650150000146823
61,1.4,0.6,1.5,0.25,0.3,1.0,0.04151690357299711,0.03669010838149788,0.07407551106525607,0.07831079408126229,0.11427054170269618,1.1239125836457442,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.41888660000040545
62,1.4,0.6,1.5,0.25,0.5,1.0,0.04151690357299711,0.03669010838149788,0.07407551106525607,0.07831079408126229,0.11427054170269618,1.1239125836457442,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.41754060000312165
63,1.4,0.6,2.0,0.25,0.3,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.4097810999992362
64,1.4,0.6,2.0,0.25,0.5,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.4067369000003964
65,1.4,0.6,2.5,0.25,0.3,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.40833390000261716
66,1.4,0.6,2.5,0.25,0.5,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.40790170000036596
67,1.4,0.8,1.5,0.25,0.3,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.407129300001543
68,1.4,0.8,1.5,0.25,0.5,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.40559230000144453
69,1.4,0.8,2.0,0.25,0.3,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.40876120000029914
70,1.4,0.8,2.0,0.25,0.5,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.40976790000058827
71,1.4,0.8,2.5,0.25,0.3,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.4048774000002595
72,1.4,0.8,2.5,0.25,0.5,1.0,0.040807791864991505,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1186409327147528,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.40523899999971036
