stage,sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score
pass1,main29_s018,main29_s018_o117,56,front,3.655,3.662913817299888,0.007913817299888048,0.15827634599776097,-2.0,-1.2579441412091512,0.7420558587908488,0.24735195293028292,True,-26.4,-27.416652386612213,-1.0166523866122077,-0.3388841288707359,0.2588930558623936
pass1,main29_s018,main29_s018_o118,57,front,4.225,4.22741003679486,0.002410036794860737,0.04820073589721474,-13.8,-13.563909459027855,0.23609054097215676,0.07869684699071892,True,-39.4,-39.722617704430945,-0.3226177044309395,-0.10753923481031318,0.08181522207776364
pass1,main29_s019,main29_s019_o119,32,front,3.387,3.3933087338011836,0.006308733801183575,0.1261746760236715,-6.8,-6.023175310790407,0.7768246892096045,0.25894156306986815,True,20.6,23.36798622071899,2.7679862207189956,0.9226620735729986,0.5580549805544164
pass1,main29_s019,main29_s019_o120,33,front,3.139,3.139160832716958,0.00016083271695821466,0.0032166543391642932,-20.6,-22.2746034904186,-1.6746034904186047,-0.5582011634728682,False,,,,,0.394714381399767
pass1,main29_s019,main29_s019_o123,49,rear,2.408,2.392585963236226,-0.015414036763774064,-0.3082807352754813,9.3,9.4423814377094,0.14238143770938905,0.047460479236463016,True,37.7,38.8335429692188,1.1335429692188086,0.37784765640626955,0.282877099510875
pass1,main29_s019,main29_s019_o124,50,rear,1.744,1.7647351762295667,0.020735176229566665,0.4147035245913333,-12.5,-11.119155419226786,1.3808445807732141,0.32546818894314505,False,,,,,0.3727657141707143
pass1,main29_s020,main29_s020_o125,48,front,3.703,3.7453224584186464,0.04232245841864657,0.8464491683729314,22.8,21.85530401540109,-0.9446959845989227,-0.31489866153297424,True,38.5,40.94121090600137,2.4412109060013734,0.8137369686671244,0.7018559244009287
pass1,main29_s020,main29_s020_o126,49,front,3.247,3.2089014318136875,-0.03809856818631241,-0.7619713637262482,8.6,9.071194843249486,0.4711948432494921,0.1570649477498307,True,29.7,28.15710173384977,-1.5428982661502175,-0.5142994220500725,0.538446423355049
pass1,main29_s020,main29_s020_o127,50,front,2.751,2.7013791660316406,-0.04962083396835926,-0.9924166793671851,-8.3,-6.964392111858615,1.3356078881413964,0.44520262938046545,True,10.5,12.12151477874167,1.6215147787416697,0.5405049262472232,0.7012469422371804
pass1,main29_s020,main29_s020_o128,51,front,2.532,2.552463250371344,0.020463250371344,0.40926500742688,-26.3,-30.926736036096088,-4.6267360360960765,-1.0905321419612342,False,,,,,0.8236377234423765
