combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
63,0.05,3.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.037869626549865774,0.0361599625690496,0.06701151892320985,0.06796320689893097,0.06828847394225145,1.1812127900332108,0.8226498615246669,2.5144151093402343,3.387724624617647,4.786516714877678,0.8205128205128205,1.0,1.0,1.0,1.0,4,4,0.4048796000024595
64,0.05,3.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03752903110605261,0.0359557019994025,0.06427646326312912,0.0676555830347986,0.06804007065537696,1.1576493090370685,0.8153130120364267,2.5140578683264607,3.388651365285739,4.7348930601235395,0.8205128205128205,1.0,1.0,1.0,1.0,3,3,0.3996685999991314
65,0.05,3.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03802379898713617,0.03720930058763997,0.06265391781769475,0.06730428940661017,0.06808054515709806,1.1647437431472225,0.811189334053438,2.5138213391937256,3.3891675098799396,4.703694252742679,0.8205128205128205,1.0,1.0,1.0,1.0,4,4,0.4077872000016214
66,0.05,4.0,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04842578716527386,0.044452138836277626,0.07944870458903971,0.13759127708532132,0.15300880366016545,1.3084823143002429,1.0328934303195751,3.346537385013903,3.846169236037781,5.049512828110295,0.6153846153846154,0.9487179487179487,0.9743589743589743,1.0,0.9487179487179487,6,6,0.4119518000006792
67,0.05,4.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03954934114395527,0.03834562959415004,0.07259086310313108,0.07541015525110899,0.08334433707255198,1.1940739252197654,0.9221680974644073,2.8703687637261623,3.339864432947536,4.876878298292752,0.7435897435897436,1.0,1.0,1.0,1.0,3,3,0.38543009999921196
68,0.05,4.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03734326072562854,0.03544242723761558,0.06531867529919148,0.07355087054896574,0.07572038996547807,1.1465611511422162,0.8237988870595814,2.3908824013890637,3.3332683406637216,4.784465219395713,0.8205128205128205,1.0,1.0,1.0,1.0,1,1,0.37747010000020964
69,0.05,4.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03678839425895783,0.03550195807196602,0.06485688754234203,0.07257493512255164,0.07656598753631949,1.1239114257817904,0.7899375702143061,2.2532560418928256,3.328770396146865,4.732288248194607,0.8205128205128205,1.0,1.0,1.0,1.0,0,0,0.3763679999974556
70,0.05,4.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03719471131609772,0.036564773219008105,0.06551687542059934,0.07200838446799367,0.07709202483503379,1.1185953937329083,0.7844060835689959,2.272153891276787,3.3257936507276327,4.700757229602459,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.38618359999964014
71,0.05,5.0,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04958487782559795,0.045310867822682004,0.0827961526774387,0.13763897864254226,0.15272301015321663,1.3174173369268993,1.0433173288199669,3.3254958333620834,3.8408073360015464,5.049924424302731,0.6153846153846154,0.9487179487179487,0.9743589743589743,1.0,0.9487179487179487,6,6,0.4067642000009073
72,0.05,5.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04038221229320102,0.039890042854871105,0.07287449287726105,0.07850597370632072,0.08294800550462762,1.2020797663465372,0.9748968183096167,2.8655231828442993,3.317747430598615,4.876422947709955,0.7435897435897436,1.0,1.0,1.0,1.0,4,4,0.39556159999847296
