sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision,,dd
8,5,4,245,245,44,front,A,5,4.964,0.036,22,24.2,-2.3,-45.1,-40.8,-4.3,24.2,-45.1,-40.8,-4.3,85.8,keep,-4.3,-81.5,81.5,-40.8,accept_keep_quantized,,4.3
12,4,1,115,115,41,front,A,3.775,3.835,-0.06,-18.4,-21.4,3,39.3,43.6,-4.3,-21.4,39.3,43.6,-4.3,-82.9,keep,-4.3,-78.6,78.6,43.6,accept_keep_quantized,,4.3
15,4,4,220,220,42,front,A,2.984,2.998,-0.014,17.4,16.1,1.3,-28.2,-23.9,-4.3,16.1,-28.2,-23.9,-4.3,52.1,keep,-4.3,-47.8,47.8,-23.9,accept_keep_quantized,,4.3
23,6,2,65,65,32,front,A,3.828,3.922,-0.094,6.5,11.8,-5.3,32.4,36.8,-4.3,11.8,32.4,36.8,-4.3,-69.2,keep,-4.3,-64.9,64.9,36.8,accept_keep_quantized,,4.3
12,4,1,115,115,48,rear,A,0.915,0.965,-0.05,-3.2,-5.4,2.2,-34.6,-30.4,-4.2,-5.4,-34.6,-30.4,-4.2,65,keep,-4.2,-60.8,60.8,-30.4,accept_keep_quantized,,4.2
9,5,3,245,245,46,front,A,3.625,3.694,-0.068,13.6,14.5,-0.9,35.5,39.5,-4.1,14.5,35.5,39.5,-4.1,-75,keep,-4.1,-70.9,70.9,39.5,accept_keep_quantized,,4.1
6,7,4,295,295,55,front,A,3.915,3.972,-0.057,-28.1,-31.1,3,37.9,33.9,4,-31.1,37.9,33.9,4,-71.8,keep,4,-67.8,67.8,,reject_edge,,4
14,4,3,250,250,35,rear,A,2.627,2.579,0.049,14.4,14.7,-0.2,30.7,34.7,-3.9,14.7,30.7,34.7,-3.9,-65.4,keep,-3.9,-61.4,61.4,,reject_edge,,3.9
18,3,2,65,65,33,front,A,5.226,5.398,-0.172,27.7,29.4,-1.7,-58.3,54.4,-112.7,29.4,-58.3,54.4,-112.7,3.9,flip,3.9,108.8,108.8,54.4,accept_flip_quantized,,3.9
7,6,4,260,260,34,rear,A,1.13,1.2,-0.07,11.4,11.3,0.1,17.5,21.3,-3.8,11.3,17.5,21.3,-3.8,-38.8,keep,-3.8,-34.9,34.9,,reject_edge,,3.8
8,5,4,245,245,47,front,A,4.03,4.097,-0.067,-9.4,-5,-4.4,16.1,20,-3.8,-5,16.1,20,-3.8,-36.1,keep,-3.8,-32.3,32.3,20,accept_keep_quantized,,3.8
26,7,3,250,250,49,front,A,3.178,3.229,-0.051,3.8,8.1,-4.3,24.3,28.1,-3.8,8.1,24.3,28.1,-3.8,-52.4,keep,-3.8,-48.7,48.7,28.1,accept_keep_quantized,,3.8
14,4,3,250,250,45,front,A,3.641,3.664,-0.023,17.8,19,-1.2,35.4,39,-3.6,19,35.4,39,-3.6,-74.3,keep,-3.6,-70.7,70.7,39,accept_keep_quantized,,3.6
16,3,4,280,280,44,front,A,3.646,3.7,-0.054,40.2,39,1.2,-64.6,-61,-3.6,39,-64.6,-61,-3.6,125.6,keep,-3.6,-122,122,,reject_edge,,3.6
7,6,4,260,260,45,front,A,5.535,5.78,-0.244,38,38.3,-0.2,51.8,48.3,3.5,38.3,51.8,48.3,3.5,-100.1,keep,3.5,-96.6,96.6,,reject_edge,,3.5
8,5,4,245,245,35,rear,A,1.158,1.215,-0.057,-4.8,-2.7,-2.1,18.8,22.3,-3.5,-2.7,18.8,22.3,-3.5,-41,keep,-3.5,-37.5,37.5,22.3,accept_keep_quantized,,3.5
17,3,3,265,265,47,front,A,2.837,2.904,-0.067,-19.1,-16.6,-2.6,14.9,-11.6,26.5,-16.6,14.9,-11.6,26.5,-3.4,flip,-3.4,23.1,23.1,-11.6,accept_flip_quantized,,3.4
17,3,3,265,265,44,front,A,2.805,2.857,-0.052,32.1,33.5,-1.4,-54.9,-51.5,-3.4,33.5,-54.9,-51.5,-3.4,106.4,keep,-3.4,-103,103,,reject_edge,,3.4
20,2,2,70,70,36,front,A,3.639,3.672,-0.033,23.3,23.3,0,39.9,43.3,-3.4,23.3,39.9,43.3,-3.4,-83.3,keep,-3.4,-79.9,79.9,43.3,accept_keep_quantized,,3.4
15,4,4,220,220,33,rear,A,3.64,3.545,0.095,23,21.2,1.9,-74.6,71.2,-145.8,21.2,-74.6,71.2,-145.8,3.4,flip,3.4,142.4,142.4,,reject_edge,,3.4
11,5,1,115,115,40,front,A,5.121,5.254,-0.134,-18,-21,2.9,40.7,44,-3.3,-21,40.7,44,-3.3,-84.8,keep,-3.3,-81.5,81.5,44,accept_keep_quantized,,3.3
25,7,2,60,60,31,front,A,3.474,3.538,-0.064,25.6,26.4,-0.8,53.2,56.4,-3.2,26.4,53.2,56.4,-3.2,-109.7,keep,-3.2,-106.4,106.4,56.4,accept_keep_quantized,,3.2
27,8,3,250,250,48,front,A,4.442,4.482,-0.04,27.3,30.5,-3.3,47.3,50.5,-3.2,30.5,47.3,50.5,-3.2,-97.9,keep,-3.2,-94.7,94.7,,reject_edge,,3.2
10,5,2,115,115,39,front,A,4.484,4.561,-0.076,-18.2,-21.5,3.2,43.4,-46.5,89.8,-21.5,43.4,-46.5,89.8,3.1,flip,3.1,86.8,86.8,-46.5,accept_flip_quantized,,3.1
15,4,4,220,220,44,front,A,4.204,4.256,-0.051,-10,-9.9,-0.1,47,-49.9,96.9,-9.9,47,-49.9,96.9,2.9,flip,2.9,93.9,93.9,-49.9,accept_flip_quantized,,2.9
7,6,4,260,260,47,front,A,4.551,4.54,0.01,22,22.1,-0.1,29.2,32.1,-2.9,22.1,29.2,32.1,-2.9,-61.4,keep,-2.9,-58.5,58.5,32.1,accept_keep_quantized,,2.9
26,7,3,250,250,47,front,A,4.353,4.439,-0.086,28.4,30.1,-1.7,47.2,50.1,-2.9,30.1,47.2,50.1,-2.9,-97.3,keep,-2.9,-94.4,94.4,,reject_edge,,2.9
21,2,3,265,265,44,front,A,2.278,2.368,-0.09,13.7,14.2,-0.5,-68.1,-70.8,2.8,14.2,-68.1,-70.8,2.8,138.9,keep,2.8,-136.1,136.1,-70.8,accept_keep_quantized,,2.8
28,8,2,110,110,33,front,A,3.138,3.191,-0.053,6.7,9.7,-3.1,7.5,-10.3,17.8,9.7,7.5,-10.3,17.8,2.7,flip,2.7,15.1,15.1,-10.3,accept_flip_quantized,,2.7
13,4,2,65,65,46,rear,A,2.286,2.271,0.016,12,11.2,0.7,33.5,36.2,-2.7,11.2,33.5,36.2,-2.7,-69.7,keep,-2.7,-67,67,,reject_edge,,2.7
8,5,4,245,245,46,front,A,4.431,4.511,-0.08,2.2,6.4,-4.2,28.7,31.4,-2.7,6.4,28.7,31.4,-2.7,-60.1,keep,-2.7,-57.4,57.4,31.4,accept_keep_quantized,,2.7
