sample_uid,observation_uid,tag_id,camera_role,raw_yaw_deg,predicted_yaw_deg,yaw_keep_deg,yaw_flip_deg,yaw_keep_error_deg,yaw_flip_error_deg,yaw_keep_abs_error_deg,yaw_flip_abs_error_deg,best_mode,best_yaw_deg,best_abs_error_deg,branch_separation_deg,accepted,decision
main29_s015,main29_s015_o100,35,rear,19.9,21.094646030566537,19.900000000000006,-19.900000000000006,-1.1946460305665312,-40.99464603056654,1.1946460305665312,40.99464603056654,keep,19.900000000000006,1.1946460305665312,39.80000000000001,True,accept_keep
main29_s016,main29_s016_o101,32,front,34.0,37.26072945607325,34.0,-34.0,-3.26072945607325,-71.26072945607325,3.26072945607325,71.26072945607325,keep,34.0,3.26072945607325,68.0,True,accept_keep
main29_s016,main29_s016_o102,33,front,21.7,24.32653344976768,21.69999999999999,-21.69999999999999,-2.6265334497676918,-46.02653344976767,2.6265334497676918,46.02653344976767,keep,21.69999999999999,2.6265334497676918,43.39999999999998,True,accept_keep
main29_s016,main29_s016_o103,34,front,9.1,8.035856770447936,9.099999999999994,-9.099999999999994,1.0641432295520588,-17.13585677044793,1.0641432295520588,17.13585677044793,keep,9.099999999999994,1.0641432295520588,16.07171354089587,True,accept_keep
main29_s016,main29_s016_o106,48,rear,34.0,37.534098831221,34.0,-34.0,-3.5340988312210015,-71.534098831221,3.5340988312210015,71.534098831221,keep,34.0,3.5340988312210015,68.0,True,accept_keep
main29_s017,main29_s017_o109,48,front,17.3,21.968151846157298,17.30000000000001,-17.30000000000001,-4.668151846157286,-39.26815184615731,4.668151846157286,39.26815184615731,keep,17.30000000000001,4.668151846157286,34.60000000000002,True,accept_keep
main29_s017,main29_s017_o113,34,rear,17.3,17.784768265213188,17.30000000000001,-17.30000000000001,-0.4847682652131766,-35.0847682652132,0.4847682652131766,35.0847682652132,keep,17.30000000000001,0.4847682652131766,34.60000000000002,True,accept_keep
main29_s018,main29_s018_o114,31,front,42.4,45.85674677901784,42.400000000000006,-42.400000000000006,-3.456746779017834,-88.25674677901785,3.456746779017834,88.25674677901785,keep,42.400000000000006,3.456746779017834,84.80000000000001,True,accept_keep
main29_s018,main29_s018_o116,55,front,-13.6,-10.078735719157066,-13.599999999999994,13.599999999999994,-3.521264280842928,23.67873571915706,3.521264280842928,23.67873571915706,keep,-13.599999999999994,3.521264280842928,20.157471438314133,True,accept_keep
main29_s018,main29_s018_o117,56,front,-26.4,-25.989476478506845,-26.400000000000006,26.400000000000006,-0.41052352149316107,52.38947647850685,0.41052352149316107,52.38947647850685,keep,-26.400000000000006,0.41052352149316107,51.97895295701369,True,accept_keep
main29_s018,main29_s018_o118,57,front,-39.4,-38.54282787791669,-39.400000000000006,39.400000000000006,-0.8571721220833126,77.94282787791667,0.8571721220833126,77.94282787791667,keep,-39.400000000000006,0.8571721220833126,77.08565575583336,True,accept_keep
main29_s019,main29_s019_o119,32,front,20.6,23.595535709242768,20.599999999999994,-20.599999999999994,-2.9955357092427732,-44.19553570924276,2.9955357092427732,44.19553570924276,keep,20.599999999999994,2.9955357092427732,41.19999999999999,True,accept_keep
main29_s019,main29_s019_o123,49,rear,37.7,38.531147577168156,37.69999999999999,-37.69999999999999,-0.8311475771681671,-76.23114757716814,0.8311475771681671,76.23114757716814,keep,37.69999999999999,0.8311475771681671,75.39999999999998,True,accept_keep
main29_s020,main29_s020_o125,48,front,38.5,41.19106971019738,38.5,-38.5,-2.6910697101973824,-79.69106971019738,2.6910697101973824,79.69106971019738,keep,38.5,2.6910697101973824,77.0,True,accept_keep
main29_s020,main29_s020_o126,49,front,-29.7,28.469568797110753,-29.69999999999999,29.69999999999999,-58.16956879711074,1.2304312028892355,58.16956879711074,1.2304312028892355,flip,29.69999999999999,1.2304312028892355,56.939137594221506,True,accept_flip
main29_s020,main29_s020_o127,50,front,10.5,12.497906431676086,10.5,-10.5,-1.9979064316760855,-22.997906431676086,1.9979064316760855,22.997906431676086,keep,10.5,1.9979064316760855,21.0,True,accept_keep
main29_s020,main29_s020_o129,32,rear,29.7,31.909630885097727,29.69999999999999,-29.69999999999999,-2.209630885097738,-61.609630885097715,2.209630885097738,61.609630885097715,keep,29.69999999999999,2.209630885097738,59.39999999999998,True,accept_keep
main29_s021,main29_s021_o133,53,front,31.6,-33.75005071112383,31.599999999999994,-31.599999999999994,65.35005071112383,2.150050711123839,65.35005071112383,2.150050711123839,flip,-31.599999999999994,2.150050711123839,63.19999999999999,True,accept_flip
main29_s021,main29_s021_o134,55,front,36.6,34.48876074306901,36.599999999999994,-36.599999999999994,2.111239256930986,-71.088760743069,2.111239256930986,71.088760743069,keep,36.599999999999994,2.111239256930986,68.97752148613802,True,accept_keep
main29_s021,main29_s021_o136,34,rear,-26.9,-26.727382109970563,-26.900000000000006,26.900000000000006,-0.17261789002944283,53.62738210997057,0.17261789002944283,53.62738210997057,keep,-26.900000000000006,0.17261789002944283,53.454764219941126,True,accept_keep
main29_s022,main29_s022_o137,31,front,31.8,32.971486313164064,31.80000000000001,-31.80000000000001,-1.1714863131640527,-64.77148631316408,1.1714863131640527,64.77148631316408,keep,31.80000000000001,1.1714863131640527,63.60000000000002,True,accept_keep
main29_s022,main29_s022_o138,55,front,-24.4,-16.682331497906944,-24.400000000000006,24.400000000000006,-7.717668502093062,41.08233149790695,7.717668502093062,41.08233149790695,keep,-24.400000000000006,7.717668502093062,33.36466299581389,True,accept_keep
main29_s022,main29_s022_o139,56,front,-36.9,-36.90126839669995,-36.900000000000006,36.900000000000006,0.0012683966999418317,73.80126839669995,0.0012683966999418317,73.80126839669995,keep,-36.900000000000006,0.0012683966999418317,73.80000000000001,True,accept_keep
main29_s022,main29_s022_o140,57,front,-48.7,-50.22132776604076,-48.69999999999999,48.69999999999999,1.5213277660407698,98.92132776604075,1.5213277660407698,98.92132776604075,keep,-48.69999999999999,1.5213277660407698,97.39999999999998,True,accept_keep
main29_s022,main29_s022_o141,51,rear,37.1,40.73743443009806,37.099999999999994,-37.099999999999994,-3.637434430098068,-77.83743443009806,3.637434430098068,77.83743443009806,keep,37.099999999999994,3.637434430098068,74.19999999999999,True,accept_keep
main29_s023,main29_s023_o143,33,front,8.3,-9.883126732464007,8.300000000000011,-8.300000000000011,18.183126732464018,1.5831267324639953,18.183126732464018,1.5831267324639953,flip,-8.300000000000011,1.5831267324639953,16.600000000000023,True,accept_flip
