tag_id,camera_role,metric,count,mean_raw,median,std_raw,mad,robust_sigma,outlier_count,mean_clean,std_clean,min_clean,max_clean
43,front,single_heading_err_deg,8,24.858625000000004,15.500499999999999,22.939059514520515,14.1935,21.0432831,0,24.858625000000004,22.939059514520515,0.414,56.7
43,front,single_pos_err_cm,8,191.24749999999997,84.405,205.26558237352617,64.30000000000001,95.33118000000002,2,91.88166666666666,107.32638322736246,7.71,297.43
43,front,yaw_error_deg,8,19.01425,5.488,28.962498060916143,12.688,18.8112288,0,19.01425,28.962498060916143,-8.1,58.3
44,front,angle_error_deg,4,3.589,2.3,4.1650551016763275,1.722,2.5530372,0,3.589,4.1650551016763275,0.356,9.4
44,front,distance_error_cm,4,-13.267499999999998,-15.2,4.767063211943666,0.8849999999999998,1.3121009999999995,1,-15.623333333333333,0.8874870891079673,-16.47,-14.7
44,front,single_heading_err_deg,4,11.8155,11.431000000000001,7.353350324851931,5.750000000000001,8.52495,0,11.8155,7.353350324851931,4.4,20.0
44,front,single_pos_err_cm,4,60.085,63.67,30.62088883970113,17.294999999999998,25.641566999999995,0,60.085,30.62088883970113,19.67,93.33
44,front,yaw_error_deg,4,-8.2265,-8.652999999999999,3.8465580718351307,2.697000000000001,3.9985722000000012,0,-8.2265,3.8465580718351307,-12.0,-3.6
45,front,angle_error_deg,5,-2.52,-2.4,1.8212632978237935,1.4,2.07564,0,-2.52,1.8212632978237935,-4.8,-0.3
45,front,distance_error_cm,5,-0.9599999999999997,-3.4,5.693241607379752,2.4,3.5582399999999996,1,-3.3249999999999997,2.434988021873345,-5.8,0.0
45,front,single_heading_err_deg,5,10.760000000000002,4.1,14.225259224351591,3.3999999999999995,5.040839999999999,1,4.699999999999999,4.998666488841466,0.7,11.9
45,front,single_pos_err_cm,5,86.52799999999999,22.9,117.05243342194984,20.65,30.615689999999997,1,37.3825,46.545623764932685,2.25,105.92
45,front,yaw_error_deg,5,-11.34,-4.5,17.434821478868088,7.3,10.82298,1,-4.225,8.23463215126618,-15.7,2.8
45,rear,angle_error_deg,1,2.5,2.5,0.0,0.0,0.0,0,2.5,0.0,2.5,2.5
45,rear,distance_error_cm,1,-1.6,-1.6,0.0,0.0,0.0,0,-1.6,0.0,-1.6,-1.6
