tag_id,camera_role,obs_count,datasets,gt_pose_count,distance_mean_clean,distance_median,distance_std_clean,distance_mad,distance_outliers,angle_mean_clean,angle_median,angle_std_clean,angle_mad,angle_outliers,yaw_mean_clean,yaw_median,yaw_std_clean,yaw_mad,yaw_outliers,single_pos_err_mean_clean,single_pos_err_median,single_pos_err_std_clean,single_pos_err_mad,single_pos_err_outliers,single_heading_err_mean_clean,single_heading_err_median,single_heading_err_std_clean,single_heading_err_mad,single_heading_err_outliers,diagnosis_flags,suggested_use
40,front,15,"624,625",15,-1.2069230769230768,-2.8,4.45555717543718,2.55,2,-1.4003333333333334,-2.379,2.3598533751868893,1.679,0,-32.6212,-30.9,28.422487124005983,22.683,0,224.60666666666668,153.57,168.81851090389802,141.12,0,31.834133333333334,26.9,27.962808258385603,21.2,0,YAW_UNSTABLE|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,USE_DIST_ANGLE_WEAK_YAW
40,rear,4,"624,625",4,-0.007499999999999951,0.8999999999999999,3.485526024385224,1.735,0,4.707,4.75,2.7214082138971114,2.25,0,-13.2325,-13.05,5.018388685624101,3.6000000000000005,0,84.75999999999999,75.33,57.33085498519391,26.0,0,17.939500000000002,19.529,5.28703833287913,2.1500000000000004,0,ANGLE_STEADY_BIAS|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
41,front,13,"624,625",13,-0.3608333333333335,-1.47,4.369483968561408,3.3600000000000003,1,-1.4719230769230767,-2.4,2.8544852560353293,1.8000000000000003,0,-6.072500000000001,-5.5,9.972719921684535,7.566000000000001,1,30.411111111111115,27.28,32.02763784781999,23.130000000000003,4,5.482636363636364,5.1,4.589853772675711,3.5999999999999996,2,OK_FIRST_PASS,TRUSTED_FIRST_PASS
41,rear,5,624,5,-0.76,-3.1,5.501181691236893,2.6999999999999997,0,7.375,6.3,1.6780444968275825,0.9000000000000004,1,-7.3,-14.7,14.48706319445042,6.600000000000001,0,64.52000000000001,70.05,34.805938430101264,36.04,0,17.3,23.3,11.790886311045494,5.199999999999999,0,ANGLE_STEADY_BIAS|YAW_UNSTABLE|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
42,front,12,"624,625",12,-4.505000000000001,-4.16,2.8438832996841175,1.79,2,-1.1161818181818182,-0.44899999999999995,2.422482603371253,1.359,1,1.087363636363636,-0.0605,14.638264373024057,7.1000000000000005,1,30.547777777777778,40.725,20.007926415409578,22.470000000000002,3,12.19181818181818,9.05,9.752747293129067,7.4755,1,YAW_UNSTABLE,USE_DIST_ANGLE_WEAK_YAW
42,rear,2,624,2,-3.7,-3.7,4.525483399593905,3.2,0,7.15,7.15,2.757716446627535,1.9499999999999997,0,7.05,7.05,2.899137802864845,2.05,0,26.229999999999997,26.229999999999997,3.7759502115361636,2.67,0,4.05,4.05,0.0707106781186545,0.04999999999999982,0,LOW_COUNT|ANGLE_STEADY_BIAS,WEAK_OR_INSPECT
43,front,8,"624,625",8,-6.215000000000001,-6.98,4.624462903176664,2.335,0,1.543,1.6,3.986910619228162,1.974,0,19.01425,5.488,28.962498060916143,12.688,0,91.88166666666666,84.405,107.32638322736246,64.30000000000001,2,24.858625000000004,15.500499999999999,22.939059514520515,14.1935,0,YAW_UNSTABLE|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,USE_DIST_ANGLE_WEAK_YAW
44,front,4,"624,625",4,-15.623333333333333,-15.2,0.8874870891079673,0.8849999999999998,1,3.589,2.3,4.1650551016763275,1.722,0,-8.2265,-8.652999999999999,3.8465580718351307,2.697000000000001,0,60.085,63.67,30.62088883970113,17.294999999999998,0,11.8155,11.431000000000001,7.353350324851931,5.750000000000001,0,DIST_STEADY_BIAS|YAW_STEADY_BIAS|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
45,front,5,624,5,-3.3249999999999997,-3.4,2.434988021873345,2.4,1,-2.52,-2.4,1.8212632978237935,1.4,0,-4.225,-4.5,8.23463215126618,7.3,1,37.3825,22.9,46.545623764932685,20.65,1,4.699999999999999,4.1,4.998666488841466,3.3999999999999995,1,OK_FIRST_PASS,TRUSTED_FIRST_PASS
45,rear,1,624,1,-1.6,-1.6,0.0,0.0,0,2.5,2.5,0.0,0.0,0,-1.2,-1.2,0.0,0.0,0,6.54,6.54,0.0,0.0,0,3.7,3.7,0.0,0.0,0,LOW_COUNT,TRUSTED_FIRST_PASS
