stage,sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score,rejected_from_pass2
final,main29_s015,main29_s015_o100,35,rear,1.182,1.239405121156137,0.05740512115613705,1.148102423122741,-2.9,-2.9351316167451387,-0.03513161674513299,-0.01171053891504433,True,19.9,21.55391313296286,1.653913132962856,0.5513043776542853,0.7353486310412608,False
final,main29_s016,main29_s016_o101,32,front,3.892,3.8873970486600102,-0.004602951339989669,-0.09205902679979339,13.2,13.126288367497637,-0.07371163250235213,-0.02457054416745071,True,34.0,36.86663431791658,2.866634317916578,0.9555447726388593,0.5544199336764685,False
final,main29_s016,main29_s016_o102,33,front,3.393,3.400552465892876,0.007552465892876281,0.15104931785752562,-1.1,0.1146186484341456,1.21461864843414,0.40487288281137995,True,21.7,23.85496459885303,2.1549645988530415,0.7183215329510139,0.48398476985759087,False
final,main29_s016,main29_s016_o103,34,front,3.144,3.1371244280844985,-0.006875571915501588,-0.13751143831003176,-16.4,-16.20747742761563,0.19252257238437664,0.06417419079479221,False,,,,,0.10730266173366824,False
final,main29_s016,main29_s016_o104,35,front,3.147,3.1575694666379155,0.010569466637915692,0.21138933275831384,-27.7,-33.69304605828273,-5.993046058282744,-1.412574502591679,False,,,,,1.0099634090837486,False
final,main29_s016,main29_s016_o106,48,rear,2.377,2.3702291354616523,-0.006770864538347521,-0.13541729076695042,13.5,14.44834399720321,0.9483439972032102,0.22352682377331543,False,,,,,0.18480000484963144,False
final,main29_s016,main29_s016_o107,49,rear,1.935,1.9356215060909823,0.0006215060909822157,0.012430121819644313,-10.2,-7.990471725788439,2.20952827421155,0.5207908086394656,False,,,,,0.368359589458317,False
final,main29_s017,main29_s017_o109,48,front,4.136,4.147804252467712,0.011804252467712217,0.23608504935424435,13.1,13.513478224328992,0.4134782243289976,0.13782607477633255,True,17.3,21.886074782390324,4.5860747823903125,1.5286915941301042,0.8965917256256023,False
final,main29_s017,main29_s017_o110,49,front,3.934,3.8962966590751744,-0.037703340924825746,-0.7540668184965149,-1.2,0.5772303576161448,1.7772303576161335,0.5924101192053778,False,,,,,0.6780731951988612,False
final,main29_s017,main29_s017_o111,50,front,3.671,3.6766929655088134,0.005692965508813597,0.11385931017627193,-14.9,-13.691953061513573,1.208046938486433,0.402682312828811,False,,,,,0.2959028451865383,False
final,main29_s017,main29_s017_o112,51,front,3.727,3.798097055821923,0.07109705582192305,1.421941116438461,-26.4,-30.52012749840287,-4.120127498402866,-0.9711233644912776,False,,,,,1.2175789764280418,False
final,main29_s017,main29_s017_o113,34,rear,1.142,1.1724381663637593,0.0304381663637594,0.608763327275188,12.2,9.710792064867974,-2.489207935132015,-0.5867119369050705,False,,,,,0.5978393118313888,False
