group_key,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,kind,residual,abs_residual,classification,enabled,weight_multiplier,state,reason
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,56,front,angle,-2.260840840695124,2.260840840695124,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,57,front,angle,-2.608131755067234,2.608131755067234,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,36,front,yaw,-7.48602581750248,7.48602581750248,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,40,rear,yaw,-8.21543769503856,8.21543769503856,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,41,rear,yaw,12.11109560446394,12.11109560446394,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,56,front,yaw,-3.167090840695124,3.167090840695124,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,57,front,yaw,11.885618244932772,11.885618244932772,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,38,front,distance,-0.20047367321292953,0.20047367321292953,BAD,True,0.25,USED_LOW_WEIGHT,bad_distance_kept_for_diversity
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,38,front,angle,-15.496781927829545,15.496781927829545,BAD,True,0.25,USED_LOW_WEIGHT,bad_angle_kept_for_diversity
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,38,front,yaw,0.4032180721705174,0.4032180721705174,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,39,front,distance,0.011320522342725736,0.011320522342725736,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,40,front,distance,-0.02221963162438456,0.02221963162438456,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,41,front,distance,0.0066355453351785165,0.0066355453351785165,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,42,front,distance,-0.01668202478789471,0.01668202478789471,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,39,front,angle,-2.0086286000211544,2.0086286000211544,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,40,front,angle,-1.7713363673462084,1.7713363673462084,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,41,front,angle,-2.8306096614483636,2.8306096614483636,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,42,front,angle,6.6516877043469265,6.6516877043469265,WEAK,True,0.5,USED_LOW_WEIGHT,weak_angle
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,39,front,yaw,-7.308628600021166,7.308628600021166,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,40,front,yaw,-47.171336367346214,47.171336367346214,SEVERE,False,0.0,DISABLED,severe_yaw_outlier
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,41,front,yaw,-4.330609661448364,4.330609661448364,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,42,front,yaw,-10.74831229565308,10.74831229565308,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,38,rear,distance,-0.09665396313757824,0.09665396313757824,WEAK,True,0.5,USED_LOW_WEIGHT,weak_distance
