group_key,mode,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,kind,value,sigma,base_weight,enabled,weight_multiplier,state,reason,effective_weight
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,39,rear,yaw,-2.3,10.0,0.01,True,1.0,USED_NORMAL,,0.01
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,43,front,distance,1.455,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,43,front,angle,32.3,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,43,front,yaw,-59.9,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,45,front,distance,2.823,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,45,front,angle,4.2,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,45,front,yaw,2.1,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,46,front,distance,2.915,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,46,front,angle,-14.5,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,46,front,yaw,16.3,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,47,front,distance,3.227,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,47,front,angle,-25.9,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,47,front,yaw,-37.1,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y4.000_h90.0,distance_angle_yaw,624,2.0,4.0,90.0,38,front,distance,1.315,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h90.0,distance_angle_yaw,624,2.0,4.0,90.0,38,front,angle,28.7,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h90.0,distance_angle_yaw,624,2.0,4.0,90.0,38,front,yaw,29.2,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y4.000_h90.0,distance_angle_yaw,624,2.0,4.0,90.0,39,front,distance,1.188,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h90.0,distance_angle_yaw,624,2.0,4.0,90.0,39,front,angle,-17.3,3.0,0.5,True,1.0,USED_NORMAL,,0.5
