rank,combo_index,rejection_score_threshold,min_score_gap,max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,joint_within_20cm_20deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
14,14,2.5,0.5,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3707663999994111
15,15,2.5,0.75,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.38787540000339504
16,16,2.5,0.75,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.36842170000090846
17,17,2.5,1.0,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.36928549999720417
18,18,2.5,1.0,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.36882219999824883
19,19,2.5,1.5,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.36696029999802704
20,20,2.5,1.5,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3746370000008028
21,21,3.0,0.25,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3674562000014703
22,22,3.0,0.25,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3691849999995611
23,23,3.0,0.5,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3696906000004674
24,24,3.0,0.5,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.36874830000306247
25,25,3.0,0.75,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3707164000006742
26,26,3.0,0.75,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3650985000022047
27,27,3.0,1.0,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3696079000001191
28,28,3.0,1.0,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0,0.3701833999984956
