group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,distance_residual_cm,distance_weight,measured_angle_deg,predicted_angle_deg,angle_residual_deg,angle_weight
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,3.98125,3.9531249999999996,268.75,46,front,4.033,4.034301604381108,-0.0013016043811076017,-0.13016043811076017,1.0,18.4,18.451602638126076,-0.05160263812607013,0.5
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,3.98125,3.9531249999999996,268.75,48,front,3.834,3.8349315182556607,-0.0009315182556606239,-0.09315182556606239,1.0,-10.5,-9.193132395860971,-1.306867604139029,0.5
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,3.98125,3.9531249999999996,268.75,49,front,4.071,4.072665639212633,-0.0016656392126330744,-0.16656392126330744,1.0,-21.0,-22.4073608560023,1.407360856002299,0.5
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.965625,3.281250000000001,356.40625,32,front,3.916,3.8618493742792803,0.0541506257207196,5.41506257207196,1.0,-28.8,-33.44435188105473,4.6443518810547175,0.5
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.965625,3.281250000000001,356.40625,41,rear,3.819,3.713924876264727,0.10507512373527295,10.507512373527295,0.5,15.4,2.8072068385935154,12.59279316140649,0.2
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.965625,3.281250000000001,356.40625,55,front,5.385,5.310069840838418,0.07493015916158186,7.4930159161581855,1.0,10.9,13.353095660754832,-2.453095660754826,0.5
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.965625,3.281250000000001,356.40625,56,front,5.188,5.106831169704043,0.08116883029595634,8.116883029595634,1.0,-1.0,2.3384911215149486,-3.3384911215149486,0.5
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.965625,3.281250000000001,356.40625,57,front,4.847,5.103274191843878,-0.256274191843878,-25.6274191843878,1.0,-11.8,-9.1283818955593,-2.671618104440711,0.5
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.965625,3.0250000000000004,90.15625,34,front,2.595,2.5880910552474345,0.006908944752565649,0.6908944752565649,1.0,33.4,35.15778898855129,-1.7577889885512832,0.5
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.965625,3.0250000000000004,90.15625,35,front,2.204,2.186348058078375,0.017651941921625003,1.7651941921625003,1.0,10.9,14.307534237632893,-3.4075342376328877,0.5
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.965625,3.0250000000000004,90.15625,36,front,1.73,1.713659728166232,0.01634027183376796,1.634027183376796,1.0,-16.9,-14.219766169816381,-2.6802338301836244,0.5
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.965625,3.0250000000000004,90.15625,37,front,2.493,2.5271193824005924,-0.034119382400592535,-3.4119382400592535,1.0,-28.5,-32.81961623919324,4.319616239193238,0.5
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.965625,3.0250000000000004,90.15625,48,rear,2.874,2.886222817202326,-0.012222817202325764,-1.2222817202325764,0.5,14.3,9.24318447730684,5.056815522693171,0.2
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.965625,3.0250000000000004,90.15625,49,rear,2.944,2.8908342451903235,0.053165754809676447,5.316575480967645,0.5,-5.7,-9.485355536869235,3.785355536869247,0.2
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.959375,176.25,38,front,3.184,3.1880095671746886,-0.0040095671746884776,-0.40095671746884776,1.0,39.9,40.8135930682711,-0.9135930682710978,0.5
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.959375,176.25,39,front,3.928,3.930143902976499,-0.0021439029764991346,-0.21439029764991346,1.0,30.8,30.944279383650013,-0.1442793836500016,0.5
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.959375,176.25,40,front,4.044,4.088690372708549,-0.044690372708549475,-4.4690372708549475,1.0,20.7,21.390360042012475,-0.690360042012486,0.5
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.959375,176.25,41,front,3.824,3.77403408941876,0.04996591058124,4.996591058124,1.0,5.2,7.511614159550334,-2.311614159550345,0.5
