group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,fixed_heading_deg,tag_id,camera_role,measured_distance_m,predicted_distance_m,residual_m,residual_cm,weight
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.01875,3.95625,270.0,46,front,4.48,4.49483071149515,-0.014830711495149806,-1.4830711495149806,1.0
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.01875,3.95625,270.0,47,front,4.085,4.071541860892504,0.013458139107496159,1.3458139107496159,1.0
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.01875,3.95625,270.0,48,front,3.851,3.835143820640889,0.01585617935911099,1.585617935911099,1.0
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.01875,3.95625,270.0,49,front,3.809,3.825634342824729,-0.016634342824728865,-1.6634342824728865,1.0
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.01875,3.95625,270.0,50,front,3.867,3.8663908396591258,0.0006091603408742152,0.06091603408742152,1.0
625_x6.000_y2.000_h0.0,625,6.0,2.0,0.0,5.859375,1.9375000000000002,0.0,51,front,2.1544,2.1737296038433582,-0.019329603843358356,-1.9329603843358356,1.0
625_x6.000_y2.000_h0.0,625,6.0,2.0,0.0,5.859375,1.9375000000000002,0.0,55,front,4.2429,4.190765191540204,0.05213480845979568,5.213480845979568,1.0
625_x6.000_y2.000_h0.0,625,6.0,2.0,0.0,5.859375,1.9375000000000002,0.0,56,front,4.2362,4.263755725956284,-0.027555725956283972,-2.755572595628397,1.0
625_x6.000_y2.000_h0.0,625,6.0,2.0,0.0,5.859375,1.9375000000000002,0.0,57,front,4.556,4.56919171086364,-0.013191710863639905,-1.3191710863639905,1.0
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,5.928125,2.0343750000000007,90.0,32,front,3.9265,3.95458485890112,-0.028084858901120224,-2.8084858901120224,1.0
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,5.928125,2.0343750000000007,90.0,33,front,3.4443,3.445568372017888,-0.0012683720178876534,-0.12683720178876534,1.0
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,5.928125,2.0343750000000007,90.0,34,front,3.1647,3.1540991433767576,0.010600856623242283,1.0600856623242283,1.0
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,5.928125,2.0343750000000007,90.0,35,front,3.1273,3.139948870005688,-0.012648870005687929,-1.2648870005687929,1.0
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,5.928125,2.0343750000000007,90.0,36,front,2.9847,2.9921069342939592,-0.007406934293959111,-0.7406934293959111,1.0
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,5.928125,2.0343750000000007,90.0,37,front,3.8665,3.8913771863249127,-0.02487718632491287,-2.487718632491287,1.0
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,5.928125,2.0343750000000007,90.0,49,rear,1.8809,1.9198642937067198,-0.03896429370671983,-3.8964293706719832,0.5
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,5.928125,2.0343750000000007,90.0,50,rear,1.6707,1.7347849740673924,-0.06408497406739233,-6.408497406739233,0.5
625_x6.000_y2.000_h180.0,625,6.0,2.0,180.0,5.896875,1.9656250000000004,180.0,38,front,4.5996,4.558214854112299,0.041385145887701036,4.138514588770104,1.0
625_x6.000_y2.000_h180.0,625,6.0,2.0,180.0,5.896875,1.9656250000000004,180.0,40,front,5.3612,5.387375071057332,-0.026175071057331856,-2.6175071057331856,1.0
